condition,runs,success_rate,avg_total_tokens,tokens_per_success,avg_input,avg_output,planner_calls,second_call_rate,patch_invalid,truncation,budget_compliance,acceleration_median,acceleration_geomean,credits,wall_time
A_FIXED,24,0.9166666666666666,2044.0416666666667,2229.8636363636365,1565.25,478.7916666666667,1.0,0.0,0.0,0.0,1.0,1.0144927536231885,1.288374859431098,41.75,85.988091144022
D_HYBRID,24,0.875,2714.8333333333335,3102.6666666666665,2056.7083333333335,658.125,1.25,0.25,0.041666666666666664,0.0,1.0,1.0,1.332317307443563,42.75,91.07992037709725
