task_id,expected_mode,routed_mode,e2e_success,terminal_failure,evidence_role,failure_stage,failure_kind,failure_signature,last_action_family,stop_reason,patch_rejections
v3d_fast_006,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,459165b8a9f0b530b2252f499e2084bbe3acfbb7c2633d80fb23ba8369c1696b,FIX_OFF_BY_ONE_CONDITION,REPAIR_FINALIZED,0
v3d_fast_007,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,888b263685f40fe00329f8979ff213ffd13a43662dacf9a5ce97d2bdda854484,REMOVE_BITMASK,REPAIR_FINALIZED,0
v3d_fast_008,REPAIR,REPAIR,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,RUNTIME_FAIL,b8f58cdfab223dd09d871b0cd74cd1dd4f02d7255a47f2bc6451ad5ec843263f,FIX_BOUNDARY_CONDITION,REPAIR_FINALIZED,0
v3d_fast_009,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,2fd6f2506e38bf38fc49200760225f45b97edfdd021f6189b0203e1b7d846fbf,REPLACE_DYNAMIC_ALLOCATION_WITH_STATIC,SYNTH_FIX_FINALIZED,0
v3d_fast_010,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,8a0ca6b06057582c88705ea6b888d6ed186802ccf6011d735c6e5a1ad8fb23a4,REPLACE_RECURSION_WITH_LOOP,SYNTH_FIX_FINALIZED,0
v3d_fast_011,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,d0c924349fbcc540696fa64471a5321c617be8401cb551810aef49892c4593b0,INLINE_LAMBDA,SYNTH_FIX_FINALIZED,0
v3d_fast_012,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,12fbc04ea7d5aedfd47652e967bcced6d7b81ef254a4e8da46b1928a2b3ddccd,REPLACE_DYNAMIC_ALLOCATION_WITH_STATIC_ARRAY,SYNTH_FIX_FINALIZED,0
v3d_fast_013,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,45e8cfe547d0631cf00ce74ab86850c1f75e5ed16bafcec2e5c0d4c3bd25ea4b,REPLACE_VLA_WITH_FIXED_ARRAY,SYNTH_FIX_FINALIZED,0
v3d_fast_014,SYNTH_FIX,SYNTH_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,CONSTRAINT_VIOLATION,2d54d6cad02c60abc980210d5c3af4d195e67f4640e4c6ca13592775e3efe109,REMOVE_INVALID_PRAGMA,SYNTH_FIX_FINALIZED,0
v3d_fast_015,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
v3d_fast_016,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
v3d_fast_017,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,FIFO_CAPACITY_OR_PROTOCOL,STRUCTURAL_FIX_FINALIZED,0
v3d_fast_018,STRUCTURAL_FIX,OPTIMIZE,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,COMPILE_ERROR,ae1ed7f64acdcc09a57e5e9a296cf24479cb130573e4cb4ba2ac8b4accdcdbe8,LOCAL_SEMANTIC_CHANGE,BASELINE_FINALIZED_NO_IMPROVEMENT,2
v3d_fast_019,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,DEADLOCK,511542563fcf7bb3e98262a6f4dc3c200398c5f345caa6df6752e3fa6cf21163,STREAM_BALANCE_REPAIR,STRUCTURAL_FIX_FINALIZED,0
v3d_fast_020,STRUCTURAL_FIX,STRUCTURAL_FIX,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,TIMEOUT,e56184bf605903e3418a007091c63f48e4112d31fe5751542f1872bf47fe9260,DATAFLOW_TOPOLOGY_OR_ORDER,STRUCTURAL_FIX_FINALIZED,0
v3d_fast_025,OPTIMIZE,OPTIMIZE,True,False,PRE_FINALIZATION_DIAGNOSTIC,NONE,SYNTH_ERROR,eda5ef0b2be7cbecd1bdf3a4789c9ff6271429d3009e0602cb133b6136e1e7c1,SYNTHESIS_LEGALITY_LOCAL_REWRITE,BASELINE_FINALIZED_NO_IMPROVEMENT,2
