scope,tasks,success,success_rate,planner_calls,tokens,credits,candidates,wall_time_s,public_validation_proxy_score,mean_acceleration,acceleration_ge_8
ALL,46,46,1.0,67,211922,1516,67,6308.8586658954155,94.6475,3.506555863342567,3
OPTIMIZE,11,11,1.0,30,74099,366,30,1498.6404770873487,23.4738,4.921212121212121,3
REPAIR,14,14,1.0,14,43646,194,14,1088.294603816932,18.9,,0
STRUCTURAL_FIX,11,11,1.0,13,59506,806,13,2345.7640250350814,32.6737,1.5614035087719298,0
SYNTH_FIX,10,10,1.0,10,34671,150,10,1376.1595599560533,19.6,,0
